"Notes","State","State Code","Year","Year Code",Deaths,Population,Crude Rate
,"Ohio","39","2014","2014",2832,11594163,24.426
,"Ohio","39","2015","2015",3418,11613423,29.431
,"Ohio","39","2016","2016",4477,11614373,38.547
,"Ohio","39","2017","2017",5299,11658609,45.451
,"Ohio","39","2018","2018",4153,11689442,35.528
"Total","Ohio","39",,,41814,230226712,18.162
,"Oklahoma","40","1999","1999",189,3437147,5.499
,"Oklahoma","40","2000","2000",250,3450654,7.245
,"Oklahoma","40","2001","2001",282,3467100,8.134
,"Oklahoma","40","2002","2002",257,3489080,7.366
,"Oklahoma","40","2003","2003",411,3504892,11.726
,"Oklahoma","40","2004","2004",527,3525233,14.949
,"Oklahoma","40","2005","2005",533,3548597,15.020
,"Oklahoma","40","2006","2006",619,3594090,17.223
,"Oklahoma","40","2007","2007",687,3634349,18.903
,"Oklahoma","40","2008","2008",585,3668976,15.945
,"Oklahoma","40","2009","2009",766,3717572,20.605
,"Oklahoma","40","2010","2010",728,3751351,19.406
,"Oklahoma","40","2011","2011",715,3791508,18.858
,"Oklahoma","40","2012","2012",782,3814820,20.499
,"Oklahoma","40","2013","2013",800,3850568,20.776
,"Oklahoma","40","2014","2014",809,3878051,20.861
,"Oklahoma","40","2015","2015",751,3911338,19.201
,"Oklahoma","40","2016","2016",840,3923561,21.409
,"Oklahoma","40","2017","2017",805,3930864,20.479
,"Oklahoma","40","2018","2018",739,3943079,18.742
"Total","Oklahoma","40",,,12075,73832830,16.355
,"Oregon","41","1999","1999",329,3393941,9.694
,"Oregon","41","2000","2000",306,3421399,8.944
,"Oregon","41","2001","2001",321,3467937,9.256
,"Oregon","41","2002","2002",411,3513424,11.698
,"Oregon","41","2003","2003",482,3547376,13.588
,"Oregon","41","2004","2004",482,3569463,13.503
,"Oregon","41","2005","2005",513,3613202,14.198
,"Oregon","41","2006","2006",584,3670883,15.909
,"Oregon","41","2007","2007",564,3722417,15.151
,"Oregon","41","2008","2008",521,3768748,13.824
,"Oregon","41","2009","2009",576,3808600,15.124
,"Oregon","41","2010","2010",576,3831074,15.035
,"Oregon","41","2011","2011",596,3871859,15.393
,"Oregon","41","2012","2012",568,3899353,14.567
,"Oregon","41","2013","2013",545,3930065,13.867
,"Oregon","41","2014","2014",617,3970239,15.541
