payor_plan_id,payor_plan,payor_plan_var
4560470,ADVANTRA/COVENTRY MED D GNRL(MI),
4560730,ADVANTRA/COVENTRY MED D GNRL(MN),
4560488,ADVANTRA/COVENTRY MED D GNRL(MO),
4560469,ADVANTRA/COVENTRY MED D GNRL(MS),
4560731,ADVANTRA/COVENTRY MED D GNRL(MT),
4560468,ADVANTRA/COVENTRY MED D GNRL(NC),
4560467,ADVANTRA/COVENTRY MED D GNRL(ND),
4560466,ADVANTRA/COVENTRY MED D GNRL(NE),
4560732,ADVANTRA/COVENTRY MED D GNRL(NH),
4560733,ADVANTRA/COVENTRY MED D GNRL(NJ),
4560734,ADVANTRA/COVENTRY MED D GNRL(NM),
4560465,ADVANTRA/COVENTRY MED D GNRL(NV),
4560490,ADVANTRA/COVENTRY MED D GNRL(NY),
4560492,ADVANTRA/COVENTRY MED D GNRL(OH),
4560473,ADVANTRA/COVENTRY MED D GNRL(OK),
4560735,ADVANTRA/COVENTRY MED D GNRL(OR),
4560486,ADVANTRA/COVENTRY MED D GNRL(PA),
4560736,ADVANTRA/COVENTRY MED D GNRL(RI),
4560498,ADVANTRA/COVENTRY MED D GNRL(SC),
4560497,ADVANTRA/COVENTRY MED D GNRL(SD),
4560496,ADVANTRA/COVENTRY MED D GNRL(TN),
4560495,ADVANTRA/COVENTRY MED D GNRL(TX),
4560494,ADVANTRA/COVENTRY MED D GNRL(UT),
4560493,ADVANTRA/COVENTRY MED D GNRL(VA),
4560737,ADVANTRA/COVENTRY MED D GNRL(VT),
4560482,ADVANTRA/COVENTRY MED D GNRL(WA),
4560491,ADVANTRA/COVENTRY MED D GNRL(WI),
4560499,ADVANTRA/COVENTRY MED D GNRL(WV),
4560489,ADVANTRA/COVENTRY MED D GNRL(WY),
4560046,ADVANTRA DIAMOND,
4560404,ADVANTRA FREEDOM 4 (NY),
4560384,ADVANTRA FREEDOM 5 (AL),
4560386,ADVANTRA FREEDOM 5 (AR),
4560385,ADVANTRA FREEDOM 5 (AZ),
4560387,ADVANTRA FREEDOM 5 (CO),
4560389,ADVANTRA FREEDOM 5 (DC),
4560393,ADVANTRA FREEDOM 5 (IA),
4560392,ADVANTRA FREEDOM 5 (IN),
4560395,ADVANTRA FREEDOM 5 (KY),
4560396,ADVANTRA FREEDOM 5 (LA),
4560399,ADVANTRA FREEDOM 5 (MI),
4560400,ADVANTRA FREEDOM 5 (MS),
4560405,ADVANTRA FREEDOM 5 (NC),
4560402,ADVANTRA FREEDOM 5 (NE),
4560407,ADVANTRA FREEDOM 5 (OH),
4560408,ADVANTRA FREEDOM 5 (OK),
4560410,ADVANTRA FREEDOM 5 (SC),
4560411,ADVANTRA FREEDOM 5 (SD),
4560412,ADVANTRA FREEDOM 5 (TN),
4560413,ADVANTRA FREEDOM 5 (TX),
4560415,ADVANTRA FREEDOM 5 (VA),
4560416,ADVANTRA FREEDOM 5 (WA),
4560418,ADVANTRA FREEDOM 5 (WI),
4560417,ADVANTRA FREEDOM 5 (WV),
